Month,SilverPrice,GoldPrice
01-04-2003,214.92,15548.35
01-05-2003,223.78,16746.68
01-06-2003,212.87,16649.12
01-07-2003,224.92,16229.25
01-08-2003,231.01,16526.12
01-09-2003,238.71,17374.81
01-10-2003,228.73,17199.35
01-11-2003,236.99,17748.7
01-12-2003,257.74,18553.38
01-01-2004,289.57,18806.25
01-02-2004,293.23,18329.5
01-03-2004,328.37,18306.02
01-04-2004,311.3,17716.56
01-05-2004,266.05,17362.97
01-06-2004,267.81,17859.21
01-07-2004,293.55,18329.56
01-08-2004,311.06,18560.59
01-09-2004,295.92,18682.41
01-10-2004,327.21,19250.39
01-11-2004,338.98,19821.18
01-12-2004,313.33,19442.83
01-01-2005,291.23,18554.21
01-02-2005,308.92,18490.66
01-03-2005,317.53,18954.91
01-04-2005,313.07,18775.16
01-05-2005,306.74,18347.86
01-06-2005,319.76,18770.58
01-07-2005,306.68,18480.7
01-08-2005,306.57,19105.09
01-09-2005,315.91,20028.03
01-10-2005,345.09,21062
01-11-2005,359.58,21796.08
01-12-2005,396.65,23290.06
01-01-2006,407.79,24413.14
01-02-2006,422.09,24603.51
01-03-2006,461.44,24776.99
01-04-2006,567.78,27448.49
01-05-2006,607.5,30668.98
01-06-2006,496.21,27455.73
01-07-2006,520.88,29439.75
01-08-2006,570.29,29440.3
01-09-2006,534.97,27588.91
01-10-2006,528.14,26634.49
01-11-2006,582.45,28162.44
01-12-2006,593.56,28110.41
01-01-2007,570.48,27985.57
01-02-2007,615.88,29356.7
01-03-2007,579.5,28832.08
01-04-2007,578.83,28636.08
01-05-2007,537.93,27220.91
01-06-2007,536.2,26726.01
01-07-2007,522.76,26892.24
01-08-2007,503.37,27160.49
01-09-2007,521.56,28748.42
01-10-2007,542.19,29816.8
01-11-2007,578.66,31798.42
01-12-2007,564.48,31678.33
01-01-2008,632.29,35025.78
01-02-2008,701.87,36642.46
01-03-2008,775.49,39082.77
01-04-2008,700.96,36416
01-05-2008,718.2,37435.38
01-06-2008,729.63,38087.88
01-07-2008,773.8,40256.56
01-08-2008,625.97,36026.85
01-09-2008,555.58,37815.02
01-10-2008,507.2,39235.79
01-11-2008,483.55,37284.82
01-12-2008,501.82,39696.27
01-01-2009,556.73,41938.42
01-02-2009,661.39,46416.55
01-03-2009,672.41,47387.48
01-04-2009,626.9,44573.36
01-05-2009,684.92,45070.86
01-06-2009,700.33,45178.09
01-07-2009,649.34,45317.28
01-08-2009,697.27,45872.8
01-09-2009,798.5,48273.82
01-10-2009,806.59,48737.49
01-11-2009,832.51,52484.94
01-12-2009,822.77,52912.18
01-01-2010,815.23,51344.51
01-02-2010,735.29,50745.87
01-03-2010,780.5,50654.61
01-04-2010,808.47,51115.41
01-05-2010,843.7,55173.35
01-06-2010,859.34,57410.36
01-07-2010,841.85,55916.83
01-08-2010,856.25,56616.02
01-09-2010,946.05,58511.77
01-10-2010,1039.07,59609.35
01-11-2010,1191.08,61476.45
01-12-2010,1324.57,62809.82
01-01-2011,1293.84,61743.4
01-02-2011,1399.04,62486.08
01-03-2011,1611.23,64031.82
01-04-2011,1895.06,65730.36
01-05-2011,1676.2,67907.28
01-06-2011,1605.47,68594.58
01-07-2011,1684.1,69854.13
01-08-2011,1826.14,79645.34
01-09-2011,1821.03,84580.51
01-10-2011,1574.44,82055.02
01-11-2011,1676.94,88150.88
01-12-2011,1595.18,86328.88
01-01-2012,1570.17,84732.63
01-02-2012,1678.47,85781.78
01-03-2012,1658.3,84338.83
01-04-2012,1633.13,85434.05
01-05-2012,1560.54,86343.66
01-06-2012,1567.92,89578.52
01-07-2012,1523.19,88525.34
01-08-2012,1600.13,90579.25
01-09-2012,1833.63,95194.24
01-10-2012,1757.55,92496.06
01-11-2012,1793.35,94207.98
01-12-2012,1740.87,92015.41
01-01-2013,1687.06,90803.41
01-02-2013,1629.97,87471.13
01-03-2013,1565.88,86644.52
01-04-2013,1378.7,80903.29
01-05-2013,1267.87,77818.64
01-06-2013,1231.26,78355.69
01-07-2013,1178.27,76847.39
01-08-2013,1383.89,85442.04
01-09-2013,1437.07,85891.21
01-10-2013,1350.77,81142.34
01-11-2013,1301.68,80007.36
01-12-2013,1218.52,75670.26
01-01-2014,1234.87,77312.91
01-02-2014,1298.32,80943.59
01-03-2014,1262.99,81456.73
01-04-2014,1191.2,78370.05
01-05-2014,1147.81,76477.43
01-06-2014,1187.8,76378.35
01-07-2014,1256.71,78718.95
01-08-2014,1201.83,78867.16
01-09-2014,1118.37,75285.57
01-10-2014,1052.92,74997.34
01-11-2014,984.74,72491.16
01-12-2014,1021.88,75291.99
01-01-2015,1070.97,77715.8
01-02-2015,1041.26,76113.23
01-03-2015,1014.19,73605.25
01-04-2015,1025.45,75236.65
01-05-2015,1074.12,76484.8
01-06-2015,1026.56,75451.46
01-07-2015,958.06,71812.23
01-08-2015,972.25,72746.31
01-09-2015,976.67,74476.64
01-10-2015,1029.04,75438.75
01-11-2015,954.56,71759.82
01-12-2015,938,71140.66
01-01-2016,949.24,73882.06
01-02-2016,1035.04,81857.57
01-03-2016,1037.05,83496.73
01-04-2016,1087.44,82572.44
01-05-2016,1133.52,84340.04
01-06-2016,1163.03,85878.28
01-07-2016,1343.8,89845.32
01-08-2016,1311.11,89707.71
01-09-2016,1291.92,88540.4
01-10-2016,1178,84533.34
01-11-2016,1175.45,83622.54
01-12-2016,1115.72,78583.48
01-01-2017,1151.15,81191.05
01-02-2017,1203.35,82818.17
01-03-2017,1162.15,81169.45
