Month,SilverPrice,GoldPrice
01-03-1997,186.48,12619.24
01-04-1997,170.65,12338.59
01-05-1997,170.44,12314.94
01-06-1997,169.96,12202.78
01-07-1997,155.8,11582.07
01-08-1997,162.16,11640.38
01-09-1997,172.13,11755.57
01-10-1997,181.57,11769.89
01-11-1997,187.99,11370.19
01-12-1997,224.16,11324.79
01-01-1998,230.08,11378.25
01-02-1998,261.75,11576.23
01-03-1998,243.81,11690.84
01-04-1998,249.37,12225.02
01-05-1998,225.54,12075.24
01-06-1998,222.24,12349.86
01-07-1998,232.46,12450.03
01-08-1998,220.73,12142.73
01-09-1998,213.74,12287.69
01-10-1998,211.8,12531.16
01-11-1998,211.21,12463.97
01-12-1998,207.96,12412.18
01-01-1999,219.44,12203.2
01-02-1999,235.52,12203.06
01-03-1999,220.61,12135.19
01-04-1999,217.57,12075.25
01-05-1999,226.61,11823.6
01-06-1999,219.02,11272.2
01-07-1999,226.31,11084.77
01-08-1999,230.06,11155.98
01-09-1999,229.82,11526.3
01-10-1999,235.38,13502.09
01-11-1999,225.32,12723.39
01-12-1999,226.61,12309.24
01-01-2000,227.98,12382.68
01-02-2000,231,13077.75
01-03-2000,222.37,12483.33
01-04-2000,222.72,12205.39
01-05-2000,221.88,12100.23
01-06-2000,225.78,12769.55
01-07-2000,224.71,12609.06
01-08-2000,225.15,12541.03
01-09-2000,226.92,12558.9
01-10-2000,226.27,12515.53
01-11-2000,220.78,12444.55
01-12-2000,218.04,12690.44
01-01-2001,218.83,12355.9
01-02-2001,212.75,12181.9
01-03-2001,205.1,12262.59
01-04-2001,205.51,12186.79
01-05-2001,208.12,12778.39
01-06-2001,205.32,12702.23
01-07-2001,200.56,12611.85
01-08-2001,198.27,12836.74
01-09-2001,209.25,13503.83
01-10-2001,212.19,13592.68
01-11-2001,197.92,13254.95
01-12-2001,209.23,13217.92
01-01-2002,217.59,13606.99
01-02-2002,216.57,14388.34
01-03-2002,222.74,14332.32
01-04-2002,225.27,14806.95
01-05-2002,232.04,15410.01
01-06-2002,240.95,15725.33
01-07-2002,241.17,15277.25
01-08-2002,221.65,15075.69
01-09-2002,222.55,15459.5
01-10-2002,213.93,15311.83
01-11-2002,219.02,15396.81
01-12-2002,224.21,15977.8
01-01-2003,232.76,17104.25
01-02-2003,223.45,17135.72
01-03-2003,216.64,16224.16
